ID_Prestazione,Nome_Prestazione,Prezzo_Listino,ID_Medico,Nome_Medico,Tipo_Accordo,Valore_Accordo,Costo_Lab_Default,Costo_Totale_Materiali,Tempo_Standard_Min,Costo_Poltrona,Imponibile_Medico,Compenso_Medico,Costo_Totale_Studio,Margine_Netto_EUR,Margine_Netto_Perc
1,Igiene Dentale,80,1,Dr. Rossi,Percentuale,0.35,0,7.5,30,14,80,28,49.5,30.5,38.1
1,Igiene Dentale,80,2,Dr. Bianchi,Percentuale,0.42,0,7.5,30,14,80,33.6,55.1,24.9,31.1
1,Igiene Dentale,80,3,Dr. Verdi,Fisso,180,0,7.5,30,14,80,180,201.5,-121.5,-151.9
2,Endodonzia Molare,350,1,Dr. Rossi,Percentuale,0.35,50,68,90,42,300,105,265,85,24.3
2,Endodonzia Molare,350,2,Dr. Bianchi,Percentuale,0.42,50,68,90,42,300,126,286,64,18.3
2,Endodonzia Molare,350,3,Dr. Verdi,Fisso,180,50,68,90,42,300,180,340,10,2.9
3,Endodonzia Incisivo,250,1,Dr. Rossi,Percentuale,0.35,40,40,60,28,210,73.5,181.5,68.5,27.4
3,Endodonzia Incisivo,250,2,Dr. Bianchi,Percentuale,0.42,40,40,60,28,210,88.2,196.2,53.8,21.5
3,Endodonzia Incisivo,250,3,Dr. Verdi,Fisso,180,40,40,60,28,210,180,288,−38,−15.2
4,Corona Metallo-Ceramica,600,1,Dr. Rossi,Percentuale,0.35,150,140,120,56,450,157.5,503.5,96.5,16.1
4,Corona Metallo-Ceramica,600,2,Dr. Bianchi,Percentuale,0.42,150,140,120,56,450,189,535,65,10.8
4,Corona Metallo-Ceramica,600,3,Dr. Verdi,Fisso,180,150,140,120,56,450,180,526,74,12.3
5,Corona Zirconio,800,1,Dr. Rossi,Percentuale,0.35,200,180,120,56,600,210,646,154,19.3
5,Corona Zirconio,800,2,Dr. Bianchi,Percentuale,0.42,200,180,120,56,600,252,688,112,14
5,Corona Zirconio,800,3,Dr. Verdi,Fisso,180,200,180,120,56,600,180,636,164,20.5
6,Ponte 3 elementi,1500,1,Dr. Rossi,Percentuale,0.35,400,320,180,84,1100,385,1189,311,20.7
6,Ponte 3 elementi,1500,2,Dr. Bianchi,Percentuale,0.42,400,320,180,84,1100,462,1266,234,15.6
6,Ponte 3 elementi,1500,3,Dr. Verdi,Fisso,180,400,320,180,84,1100,180,1084,416,27.7
7,Impianto Dentale,1200,1,Dr. Rossi,Percentuale,0.35,300,126,90,42,900,315,783,417,34.8
7,Impianto Dentale,1200,2,Dr. Bianchi,Percentuale,0.42,300,126,90,42,900,378,846,354,29.5
7,Impianto Dentale,1200,3,Dr. Verdi,Fisso,180,300,126,90,42,900,180,648,552,46
8,Abutment + Corona su Impianto,900,1,Dr. Rossi,Percentuale,0.35,250,180,120,56,650,227.5,713.5,186.5,20.7
8,Abutment + Corona su Impianto,900,2,Dr. Bianchi,Percentuale,0.42,250,180,120,56,650,273,779,121,13.4
8,Abutment + Corona su Impianto,900,3,Dr. Verdi,Fisso,180,250,180,120,56,650,180,716,184,20.4
9,Faccetta Estetica,400,1,Dr. Rossi,Percentuale,0.35,100,85,60,28,300,105,318,82,20.5
9,Faccetta Estetica,400,2,Dr. Bianchi,Percentuale,0.42,100,85,60,28,300,126,339,61,15.3
9,Faccetta Estetica,400,3,Dr. Verdi,Fisso,180,100,85,60,28,300,180,393,7,1.8
10,Detartaraggio Profondo,150,1,Dr. Rossi,Percentuale,0.35,0,8,45,21,150,52.5,81.5,68.5,45.7
10,Detartaraggio Profondo,150,2,Dr. Bianchi,Percentuale,0.42,0,8,45,21,150,63,92,58,38.7
10,Detartaraggio Profondo,150,3,Dr. Verdi,Fisso,180,0,8,45,21,150,180,359,-209,-139.3
11,Estrazione Semplice,200,1,Dr. Rossi,Percentuale,0.35,20,2.5,30,14,180,63,99.5,100.5,50.3
11,Estrazione Semplice,200,2,Dr. Bianchi,Percentuale,0.42,20,2.5,30,14,180,75.6,112.1,87.9,44
11,Estrazione Semplice,200,3,Dr. Verdi,Fisso,180,20,2.5,30,14,180,180,396.5,-196.5,-98.3
12,Estrazione Complessa,400,1,Dr. Rossi,Percentuale,0.35,80,10,60,28,320,112,230,170,42.5
12,Estrazione Complessa,400,2,Dr. Bianchi,Percentuale,0.42,80,10,60,28,320,134.4,252.4,147.6,36.9
12,Estrazione Complessa,400,3,Dr. Verdi,Fisso,180,80,10,60,28,320,180,288,112,28
